text,label
"Scientists at NASA confirm discovery of water on Mars raising hopes for future missions",REAL
"New study shows regular meditation reduces anxiety and improves sleep quality significantly",REAL
"Government announces infrastructure investment of billions for road and bridge repairs",REAL
"World Health Organization approves new malaria vaccine showing 77 percent efficacy in trials",REAL
"Electric vehicles now outsell petrol cars in Norway for the first time in history",REAL
"Researchers develop new antibiotic that kills drug resistant bacteria without side effects",REAL
"International climate summit agrees on binding emissions targets for member nations",REAL
"Tech giant announces plan to plant 1 billion trees by 2030 as carbon offset initiative",REAL
"Scientists successfully grow human kidney organoids in laboratory setting for research",REAL
"New solar panel technology achieves record 47 percent efficiency in laboratory tests",REAL
"Global food prices stabilize after supply chain disruptions ease in major markets",REAL
"University study finds children who read daily score 40 percent higher on comprehension",REAL
"Central bank holds interest rates steady amid improving inflation outlook",REAL
"New metro rail line inaugurated connecting suburban areas to city center",REAL
"Medical researchers identify genetic marker linked to early onset Alzheimers disease",REAL
"Renewable energy now accounts for 30 percent of global electricity production",REAL
"Country achieves highest ever literacy rate following decade long education reform",REAL
"Scientists confirm deep ocean current changes affecting global weather patterns",REAL
"New app uses AI to help visually impaired people navigate public spaces independently",REAL
"Study finds urban green spaces reduce city temperatures by up to 4 degrees Celsius",REAL
"Government launches free skill training program for unemployed youth across country",REAL
"Archaeologists discover ancient Roman settlement during highway construction project",REAL
"New water purification technology provides clean drinking water at minimal cost",REAL
"Research confirms coffee consumption linked to reduced risk of type 2 diabetes",REAL
"Startup develops biodegradable packaging material from agricultural waste products",REAL
"New law mandates equal pay for equal work across all government sectors",REAL
"Scientists develop blood test that detects 50 types of cancer at early stage",REAL
"City introduces free public WiFi across all parks and public transport hubs",REAL
"Researchers create artificial photosynthesis system producing clean hydrogen fuel",REAL
"National space agency successfully tests reusable rocket engine for future missions",REAL
"Study shows plant based diet reduces carbon footprint by 73 percent per person",REAL
"New bridge design uses recycled plastic bottles reducing construction waste significantly",REAL
"Children given access to musical education show improved math performance in school",REAL
"Scientists map complete neural connections of fruit fly brain in landmark study",REAL
"New policy requires all new buildings to install solar panels from next year",REAL
